job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
0,w0,34,0.000000,112,900.000000,1,COMPLETED_SUCCESSFULLY,0.000000,34.000000,34.000000,0.000000,34.000000,1.000000,0-111,-1.000000,""
2,w0,18,21083.000000,1,14400.000000,1,COMPLETED_SUCCESSFULLY,21083.000000,18.000000,21101.000000,0.000000,18.000000,1.000000,4,-1.000000,""
3,w0,532,23042.000000,128,3600.000000,1,COMPLETED_SUCCESSFULLY,23042.000000,532.000000,23574.000000,0.000000,532.000000,1.000000,4-131,-1.000000,""
4,w0,179,24576.000000,160,20000.000000,1,COMPLETED_SUCCESSFULLY,24576.000000,179.000000,24755.000000,0.000000,179.000000,1.000000,4-163,-1.000000,""
5,w0,27,28374.000000,2,14400.000000,1,COMPLETED_SUCCESSFULLY,28374.000000,27.000000,28401.000000,0.000000,27.000000,1.000000,4-5,-1.000000,""
7,w0,51,35987.000000,8,64800.000000,1,COMPLETED_SUCCESSFULLY,35987.000000,51.000000,36038.000000,0.000000,51.000000,1.000000,4-11,-1.000000,""
1,w0,32080,13257.000000,4,36000.000000,1,COMPLETED_SUCCESSFULLY,13257.000000,32080.000000,45337.000000,0.000000,32080.000000,1.000000,0-3,-1.000000,""
6,w0,289,28405.000000,170,7200.000000,1,COMPLETED_SUCCESSFULLY,45337.000000,289.000000,45626.000000,16932.000000,17221.000000,59.588235,0-169,-1.000000,""
8,w0,344,49238.000000,64,64800.000000,1,COMPLETED_SUCCESSFULLY,49238.000000,344.000000,49582.000000,0.000000,344.000000,1.000000,0-63,-1.000000,""
9,w0,161,68862.000000,64,600.000000,1,COMPLETED_SUCCESSFULLY,68862.000000,161.000000,69023.000000,0.000000,161.000000,1.000000,0-63,-1.000000,""
10,w0,163,69431.000000,64,600.000000,1,COMPLETED_SUCCESSFULLY,69431.000000,163.000000,69594.000000,0.000000,163.000000,1.000000,0-63,-1.000000,""
11,w0,162,69446.000000,64,600.000000,1,COMPLETED_SUCCESSFULLY,69446.000000,162.000000,69608.000000,0.000000,162.000000,1.000000,64-127,-1.000000,""
12,w0,165,70035.000000,64,600.000000,1,COMPLETED_SUCCESSFULLY,70035.000000,165.000000,70200.000000,0.000000,165.000000,1.000000,0-63,-1.000000,""
13,w0,163,70041.000000,64,600.000000,1,COMPLETED_SUCCESSFULLY,70041.000000,163.000000,70204.000000,0.000000,163.000000,1.000000,64-127,-1.000000,""
14,w0,43,70524.000000,64,600.000000,1,COMPLETED_SUCCESSFULLY,70524.000000,43.000000,70567.000000,0.000000,43.000000,1.000000,0-63,-1.000000,""
15,w0,43,70528.000000,64,600.000000,1,COMPLETED_SUCCESSFULLY,70528.000000,43.000000,70571.000000,0.000000,43.000000,1.000000,64-127,-1.000000,""
16,w0,44,70532.000000,64,600.000000,1,COMPLETED_SUCCESSFULLY,70567.000000,44.000000,70611.000000,35.000000,79.000000,1.795455,0-63,-1.000000,""
17,w0,48,70537.000000,64,600.000000,1,COMPLETED_SUCCESSFULLY,70571.000000,48.000000,70619.000000,34.000000,82.000000,1.708333,64-127,-1.000000,""
18,w0,43,70550.000000,64,600.000000,1,COMPLETED_SUCCESSFULLY,70611.000000,43.000000,70654.000000,61.000000,104.000000,2.418605,0-63,-1.000000,""
